,max_distance
0,0.0
1,2.8284271247461903
2,4.47213595499958
3,6.082762530298219
4,7.211102550927978
5,7.0710678118654755
6,8.06225774829855
7,8.06225774829855
8,9.433981132056603
9,8.602325267042627
10,9.055385138137417
