Step,AgentID,cell
0,1,"(61, 80)"
0,2,"(61, 80)"
0,3,"(61, 80)"
0,4,"(61, 80)"
0,5,"(61, 80)"
0,6,"(61, 80)"
0,7,"(61, 80)"
0,8,"(61, 80)"
0,9,"(61, 80)"
0,10,"(61, 80)"
1,1,"(61, 79)"
1,2,"(62, 80)"
1,3,"(60, 81)"
1,4,"(61, 81)"
1,5,"(60, 79)"
1,6,"(61, 81)"
1,7,"(62, 80)"
1,8,"(62, 80)"
1,9,"(62, 79)"
1,10,"(60, 79)"
2,1,"(62, 79)"
2,2,"(62, 81)"
2,3,"(59, 80)"
2,4,"(60, 82)"
2,5,"(61, 80)"
2,6,"(62, 80)"
2,7,"(61, 79)"
2,8,"(62, 81)"
2,9,"(63, 78)"
2,10,"(61, 80)"
3,1,"(62, 80)"
3,2,"(61, 81)"
3,3,"(60, 80)"
3,4,"(59, 83)"
3,5,"(60, 81)"
3,6,"(61, 80)"
3,7,"(60, 80)"
3,8,"(63, 82)"
3,9,"(64, 78)"
3,10,"(61, 81)"
4,1,"(62, 81)"
4,2,"(60, 80)"
4,3,"(59, 80)"
4,4,"(58, 82)"
4,5,"(61, 81)"
4,6,"(62, 81)"
4,7,"(60, 79)"
4,8,"(62, 83)"
4,9,"(65, 79)"
4,10,"(62, 80)"
5,1,"(61, 81)"
5,2,"(61, 79)"
5,3,"(60, 81)"
5,4,"(57, 82)"
5,5,"(62, 82)"
5,6,"(62, 82)"
5,7,"(60, 78)"
5,8,"(61, 84)"
5,9,"(65, 78)"
5,10,"(63, 80)"
6,1,"(62, 82)"
6,2,"(60, 79)"
6,3,"(60, 82)"
6,4,"(58, 81)"
6,5,"(62, 81)"
6,6,"(61, 83)"
6,7,"(59, 77)"
6,8,"(62, 84)"
6,9,"(65, 79)"
6,10,"(63, 79)"
7,1,"(63, 82)"
7,2,"(60, 80)"
7,3,"(60, 81)"
7,4,"(57, 81)"
7,5,"(61, 80)"
7,6,"(61, 82)"
7,7,"(58, 78)"
7,8,"(61, 85)"
7,9,"(64, 79)"
7,10,"(62, 79)"
8,1,"(62, 82)"
8,2,"(60, 81)"
8,3,"(59, 82)"
8,4,"(58, 82)"
8,5,"(61, 81)"
8,6,"(60, 81)"
8,7,"(59, 79)"
8,8,"(60, 85)"
8,9,"(65, 79)"
8,10,"(62, 80)"
9,1,"(63, 83)"
9,2,"(61, 81)"
9,3,"(58, 82)"
9,4,"(57, 81)"
9,5,"(62, 82)"
9,6,"(60, 82)"
9,7,"(59, 80)"
9,8,"(59, 85)"
9,9,"(66, 80)"
9,10,"(63, 80)"
10,1,"(63, 82)"
10,2,"(60, 80)"
10,3,"(59, 83)"
10,4,"(56, 82)"
10,5,"(62, 83)"
10,6,"(59, 81)"
10,7,"(59, 81)"
10,8,"(59, 84)"
10,9,"(66, 79)"
10,10,"(62, 80)"
