,RunId,iteration,Step,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,sheep_gain_from_food,grass,grass_regrowth_time,Wolves,Sheep,Grass
100,0,0,100,50,5,0.04,0.04,18,4,True,10,32,9,298
201,1,0,100,50,5,0.04,0.04,18,4,True,20,12,54,56
302,2,0,100,50,5,0.04,0.04,18,5,True,10,14,82,74
403,3,0,100,50,5,0.04,0.04,18,5,True,20,24,20,135
504,4,0,100,50,5,0.04,0.04,18,8,True,10,52,0,396
605,5,0,100,50,5,0.04,0.04,18,8,True,20,28,9,259
706,6,0,100,50,5,0.04,0.04,20,4,True,10,50,5,355
807,7,0,100,50,5,0.04,0.04,20,4,True,20,37,1,267
908,8,0,100,50,5,0.04,0.04,20,5,True,10,65,8,290
1009,9,0,100,50,5,0.04,0.04,20,5,True,20,4,103,24
1110,10,0,100,50,5,0.04,0.04,20,8,True,10,62,16,289
1211,11,0,100,50,5,0.04,0.04,20,8,True,20,7,160,26
1312,12,0,100,50,5,0.04,0.04,22,4,True,10,35,12,280
1413,13,0,100,50,5,0.04,0.04,22,4,True,20,15,15,165
1514,14,0,100,50,5,0.04,0.04,22,5,True,10,33,61,134
1615,15,0,100,50,5,0.04,0.04,22,5,True,20,3,111,17
1716,16,0,100,50,5,0.04,0.04,22,8,True,10,18,383,48
1817,17,0,100,50,5,0.04,0.04,22,8,True,20,50,15,189
1918,18,0,100,50,5,0.04,0.05,18,4,True,10,17,99,63
2019,19,0,100,50,5,0.04,0.05,18,4,True,20,28,15,196
2120,20,0,100,50,5,0.04,0.05,18,5,True,10,52,2,374
2221,21,0,100,50,5,0.04,0.05,18,5,True,20,19,25,173
2322,22,0,100,50,5,0.04,0.05,18,8,True,10,52,0,393
2423,23,0,100,50,5,0.04,0.05,18,8,True,20,30,8,192
2524,24,0,100,50,5,0.04,0.05,20,4,True,10,29,0,400
2625,25,0,100,50,5,0.04,0.05,20,4,True,20,33,12,172
2726,26,0,100,50,5,0.04,0.05,20,5,True,10,25,0,400
2827,27,0,100,50,5,0.04,0.05,20,5,True,20,25,14,176
2928,28,0,100,50,5,0.04,0.05,20,8,True,10,71,5,339
3029,29,0,100,50,5,0.04,0.05,20,8,True,20,26,125,20
3130,30,0,100,50,5,0.04,0.05,22,4,True,10,40,5,309
3231,31,0,100,50,5,0.04,0.05,22,4,True,20,24,16,202
3332,32,0,100,50,5,0.04,0.05,22,5,True,10,29,0,400
3433,33,0,100,50,5,0.04,0.05,22,5,True,20,1,122,17
3534,34,0,100,50,5,0.04,0.05,22,8,True,10,55,0,397
