,RunId,iteration,Step,width,height,numagents,max_distance,AgentID,cell
0,0,0,0,10,10,2,0.0,1,"(0, 7)"
1,0,0,0,10,10,2,0.0,2,"(0, 7)"
2,0,0,1,10,10,2,1.0,1,"(9, 7)"
3,0,0,1,10,10,2,1.0,2,"(9, 8)"
4,0,0,2,10,10,2,0.0,1,"(8, 7)"
5,0,0,2,10,10,2,0.0,2,"(8, 7)"
6,0,0,3,10,10,2,2.0,1,"(8, 8)"
7,0,0,3,10,10,2,2.0,2,"(8, 6)"
8,0,0,4,10,10,2,1.0,1,"(7, 7)"
9,0,0,4,10,10,2,1.0,2,"(7, 6)"
10,0,0,5,10,10,2,1.4142135623730951,1,"(7, 8)"
11,0,0,5,10,10,2,1.4142135623730951,2,"(8, 7)"
12,0,0,6,10,10,2,1.0,1,"(6, 7)"
13,0,0,6,10,10,2,1.0,2,"(7, 7)"
14,0,0,7,10,10,2,1.0,1,"(7, 7)"
15,0,0,7,10,10,2,1.0,2,"(7, 6)"
16,0,0,8,10,10,2,2.0,1,"(6, 7)"
17,0,0,8,10,10,2,2.0,2,"(6, 5)"
18,0,0,9,10,10,2,4.123105625617661,1,"(6, 8)"
19,0,0,9,10,10,2,4.123105625617661,2,"(5, 4)"
20,0,0,10,10,10,2,4.123105625617661,1,"(5, 9)"
21,0,0,10,10,10,2,4.123105625617661,2,"(4, 5)"
22,0,0,11,10,10,2,4.123105625617661,1,"(4, 0)"
23,0,0,11,10,10,2,4.123105625617661,2,"(3, 6)"
24,0,0,12,10,10,2,4.123105625617661,1,"(3, 1)"
25,0,0,12,10,10,2,4.123105625617661,2,"(2, 5)"
26,0,0,13,10,10,2,4.242640687119285,1,"(4, 1)"
27,0,0,13,10,10,2,4.242640687119285,2,"(1, 4)"
28,0,0,14,10,10,2,5.0990195135927845,1,"(5, 2)"
29,0,0,14,10,10,2,5.0990195135927845,2,"(0, 3)"
30,0,0,15,10,10,2,3.1622776601683795,1,"(4, 3)"
31,0,0,15,10,10,2,3.1622776601683795,2,"(1, 2)"
32,0,0,16,10,10,2,1.0,1,"(3, 2)"
33,0,0,16,10,10,2,1.0,2,"(2, 2)"
34,0,0,17,10,10,2,2.8284271247461903,1,"(3, 1)"
35,0,0,17,10,10,2,2.8284271247461903,2,"(1, 3)"
36,0,0,18,10,10,2,2.8284271247461903,1,"(3, 2)"
37,0,0,18,10,10,2,2.8284271247461903,2,"(1, 4)"
38,0,0,19,10,10,2,4.47213595499958,1,"(2, 1)"
39,0,0,19,10,10,2,4.47213595499958,2,"(0, 5)"
40,0,0,20,10,10,2,3.1622776601683795,1,"(1, 1)"
41,0,0,20,10,10,2,3.1622776601683795,2,"(0, 4)"
42,0,0,21,10,10,2,3.605551275463989,1,"(1, 0)"
43,0,0,21,10,10,2,3.605551275463989,2,"(9, 3)"
44,0,0,22,10,10,2,4.47213595499958,1,"(2, 0)"
45,0,0,22,10,10,2,4.47213595499958,2,"(8, 2)"
46,0,0,23,10,10,2,4.0,1,"(1, 1)"
47,0,0,23,10,10,2,4.0,2,"(7, 1)"
48,0,0,24,10,10,2,4.0,1,"(1, 0)"
49,0,0,24,10,10,2,4.0,2,"(7, 0)"
50,0,0,25,10,10,2,4.47213595499958,1,"(0, 1)"
51,0,0,25,10,10,2,4.47213595499958,2,"(6, 9)"
52,0,0,26,10,10,2,5.830951894845301,1,"(1, 1)"
53,0,0,26,10,10,2,5.830951894845301,2,"(6, 8)"
54,0,0,27,10,10,2,5.830951894845301,1,"(2, 2)"
55,0,0,27,10,10,2,5.830951894845301,2,"(7, 9)"
56,0,0,28,10,10,2,5.0,1,"(1, 1)"
57,0,0,28,10,10,2,5.0,2,"(7, 8)"
58,0,0,29,10,10,2,5.0,1,"(0, 2)"
59,0,0,29,10,10,2,5.0,2,"(6, 9)"
60,0,0,30,10,10,2,5.0,1,"(0, 1)"
61,0,0,30,10,10,2,5.0,2,"(6, 8)"
62,0,0,31,10,10,2,4.47213595499958,1,"(1, 0)"
63,0,0,31,10,10,2,4.47213595499958,2,"(5, 8)"
64,0,0,32,10,10,2,5.830951894845301,1,"(1, 1)"
65,0,0,32,10,10,2,5.830951894845301,2,"(6, 8)"
66,0,0,33,10,10,2,3.605551275463989,1,"(2, 0)"
67,0,0,33,10,10,2,3.605551275463989,2,"(5, 8)"
68,0,0,34,10,10,2,3.605551275463989,1,"(1, 1)"
69,0,0,34,10,10,2,3.605551275463989,2,"(4, 9)"
70,0,0,35,10,10,2,5.0,1,"(1, 2)"
71,0,0,35,10,10,2,5.0,2,"(5, 9)"
72,0,0,36,10,10,2,4.47213595499958,1,"(0, 1)"
73,0,0,36,10,10,2,4.47213595499958,2,"(6, 9)"
74,0,0,37,10,10,2,5.0,1,"(0, 2)"
75,0,0,37,10,10,2,5.0,2,"(7, 8)"
76,0,0,38,10,10,2,5.830951894845301,1,"(1, 2)"
77,0,0,38,10,10,2,5.830951894845301,2,"(6, 9)"
78,0,0,39,10,10,2,5.0990195135927845,1,"(0, 1)"
79,0,0,39,10,10,2,5.0990195135927845,2,"(5, 0)"
80,0,0,40,10,10,2,5.0990195135927845,1,"(9, 0)"
81,0,0,40,10,10,2,5.0990195135927845,2,"(4, 1)"
82,0,0,41,10,10,2,5.0990195135927845,1,"(0, 9)"
83,0,0,41,10,10,2,5.0990195135927845,2,"(5, 0)"
84,0,0,42,10,10,2,5.385164807134504,1,"(1, 9)"
85,0,0,42,10,10,2,5.385164807134504,2,"(6, 1)"
86,0,0,43,10,10,2,5.0,1,"(0, 9)"
87,0,0,43,10,10,2,5.0,2,"(6, 2)"
88,0,0,44,10,10,2,4.47213595499958,1,"(1, 0)"
89,0,0,44,10,10,2,4.47213595499958,2,"(7, 2)"
90,0,0,45,10,10,2,4.47213595499958,1,"(0, 9)"
91,0,0,45,10,10,2,4.47213595499958,2,"(8, 3)"
92,0,0,46,10,10,2,5.656854249492381,1,"(1, 0)"
93,0,0,46,10,10,2,5.656854249492381,2,"(7, 4)"
94,0,0,47,10,10,2,6.4031242374328485,1,"(2, 9)"
95,0,0,47,10,10,2,6.4031242374328485,2,"(8, 4)"
96,0,0,48,10,10,2,4.242640687119285,1,"(1, 0)"
97,0,0,48,10,10,2,4.242640687119285,2,"(8, 3)"
98,0,0,49,10,10,2,5.0,1,"(0, 9)"
99,0,0,49,10,10,2,5.0,2,"(7, 3)"
100,0,0,50,10,10,2,4.242640687119285,1,"(1, 9)"
101,0,0,50,10,10,2,4.242640687119285,2,"(8, 2)"
102,0,0,51,10,10,2,5.0,1,"(1, 0)"
103,0,0,51,10,10,2,5.0,2,"(7, 3)"
104,0,0,52,10,10,2,5.385164807134504,1,"(2, 0)"
105,0,0,52,10,10,2,5.385164807134504,2,"(7, 2)"
106,0,0,53,10,10,2,5.0,1,"(2, 1)"
107,0,0,53,10,10,2,5.0,2,"(7, 1)"
108,0,0,54,10,10,2,4.0,1,"(1, 0)"
