,max_distance
0,0.0
1,2.8284271247461903
2,4.123105625617661
3,4.242640687119285
4,5.385164807134504
5,5.385164807134504
6,5.385164807134504
7,6.082762530298219
8,7.211102550927978
9,7.810249675906654
10,8.06225774829855
