,max_distance
0,0.0
1,2.8284271247461903
2,4.123105625617661
3,5.0
4,6.4031242374328485
5,8.06225774829855
6,10.0
7,12.206555615733702
8,12.529964086141668
9,12.806248474865697
10,13.45362404707371
