Step,AgentID,cell
0,1,"(17, 28)"
0,2,"(17, 28)"
0,3,"(17, 28)"
0,4,"(17, 28)"
0,5,"(17, 28)"
0,6,"(17, 28)"
0,7,"(17, 28)"
0,8,"(17, 28)"
0,9,"(17, 28)"
0,10,"(17, 28)"
1,1,"(16, 27)"
1,2,"(18, 29)"
1,3,"(18, 29)"
1,4,"(17, 27)"
1,5,"(17, 27)"
1,6,"(16, 29)"
1,7,"(18, 28)"
1,8,"(16, 28)"
1,9,"(16, 29)"
1,10,"(17, 27)"
2,1,"(17, 28)"
2,2,"(17, 30)"
2,3,"(18, 28)"
2,4,"(16, 26)"
2,5,"(18, 26)"
2,6,"(17, 28)"
2,7,"(17, 27)"
2,8,"(17, 27)"
2,9,"(17, 30)"
2,10,"(16, 27)"
3,1,"(18, 28)"
3,2,"(16, 30)"
3,3,"(17, 29)"
3,4,"(15, 27)"
3,5,"(19, 26)"
3,6,"(18, 29)"
3,7,"(16, 28)"
3,8,"(16, 27)"
3,9,"(16, 29)"
3,10,"(17, 26)"
4,1,"(18, 29)"
4,2,"(15, 30)"
4,3,"(17, 30)"
4,4,"(16, 27)"
4,5,"(19, 25)"
4,6,"(18, 28)"
4,7,"(15, 29)"
4,8,"(16, 28)"
4,9,"(15, 29)"
4,10,"(16, 25)"
5,1,"(19, 29)"
5,2,"(15, 31)"
5,3,"(17, 31)"
5,4,"(15, 28)"
5,5,"(19, 24)"
5,6,"(17, 29)"
5,7,"(15, 30)"
5,8,"(17, 28)"
5,9,"(15, 28)"
5,10,"(17, 26)"
6,1,"(18, 29)"
6,2,"(14, 32)"
6,3,"(16, 30)"
6,4,"(14, 29)"
6,5,"(20, 24)"
6,6,"(16, 30)"
6,7,"(16, 31)"
6,8,"(18, 29)"
6,9,"(16, 28)"
6,10,"(18, 26)"
7,1,"(19, 28)"
7,2,"(13, 33)"
7,3,"(15, 29)"
7,4,"(15, 29)"
7,5,"(20, 23)"
7,6,"(17, 31)"
7,7,"(15, 31)"
7,8,"(17, 28)"
7,9,"(17, 29)"
7,10,"(17, 27)"
8,1,"(20, 29)"
8,2,"(13, 34)"
8,3,"(15, 30)"
8,4,"(16, 28)"
8,5,"(19, 23)"
8,6,"(16, 30)"
8,7,"(16, 31)"
8,8,"(16, 28)"
8,9,"(16, 29)"
8,10,"(17, 28)"
9,1,"(19, 29)"
9,2,"(12, 34)"
9,3,"(14, 30)"
9,4,"(17, 28)"
9,5,"(20, 24)"
9,6,"(17, 31)"
9,7,"(17, 32)"
9,8,"(15, 29)"
9,9,"(17, 29)"
9,10,"(16, 29)"
10,1,"(20, 28)"
10,2,"(11, 33)"
10,3,"(15, 31)"
10,4,"(18, 27)"
10,5,"(21, 24)"
10,6,"(18, 30)"
10,7,"(16, 33)"
10,8,"(16, 28)"
10,9,"(18, 28)"
10,10,"(15, 28)"
